"TOKEN";"REFTEXT"
"FNLDCHDYDN";"4-12th Field Artillery Rgt."
"FNLLFEJDGY";"F-16A [CLU]"
"FNLTZZIJHQ";"A-19"
"FNMSQGEPRC";"USMCR AAVP-7"
"FNPXTBEHJU";"793rd MP Battalion"
"FNRTDEWQIW";"3e RPIMa"
"FNSIMJKQLR";"N.G. AH-1F TOWCOBRA"
"FNVLDFBGDJ";"1-62-y Gv. Tank. Polk"
"FNXVEFFBRX";"1er Artillerie"
"FOBFRA";"Dépôt de munition"
"FOBGER";"Felddepot"
"FOBNL";"Munitiedepot"
"FOBQZRPWXQ";"PUNTO DE ABASTECIMIENTO"
"FOBSMBCIDP";"MILAN 2"
"FOBSOV";"Sklad Snabzheniya"
"FOBUSUK";"Field Supply Point"
"FOEHEVHOFI";"HARRIER GR.3 [RKT2]"
"FOFSOPRCPI";"81-y otd. Razvedka Bat."
"FOKRPICVFM";"#BEL 3ste Wing"
"FOMRBIEDNQ";"1. Luftlande-Division"
"FOMUKMMLNY";"C.12 [HE]"
"FONKCFBSWU";"BTR-70"
"FOSDNTTRUQ";"Strela-2M"
"FOSHMZJIFS";"2-145-y otd. Tank. Polk"
"FOUMNVZCJZ";"#RECO1 HONKER RYS"
"FOVTZBUCUS";"Feldartillerie-Bat. 71"
"FOWVGFBVEH";"26th Field Rgt., RE"
"FOWWAHLVMF";"RAF Bruggen"
"FOYBIJVVMP";"L85A1"
"FOYJDGIRXZ";"Kh-25 MPU"
"FOZZQUYGFW";"EM-5e DB"
"FPAGDGQXLD";"#CMD USMC AAVC-7A1"
"FPAGUORCSH";"3-2. TP"
"FPAJPWGMER";"3-45-y Gv. Tank. Polk"
"FPFQOTUJGD";"M113A1"
"FPIETNUZSV";"2-64th Armored Bat."
"FPKRVEDLCX";"#CMD LEOPARD 1A5(BE) PC"
"FPMXNFPKHK";"F-4F [RKT]"
"FPODEKCOAL";"4-159th Aviation Rgt."
"FPQLBBUPJX";"#US  17th Field Artillery Brig."
"FPTCWRLCEV";"3-332. KDBr"
"FPUDXJHFBG";"CH-47C CHINOOK"
"FPVBLJYFBI";"ACTIVE PROTECTION SYSTEM"
"FPVDUPYIFO";"Militia"
"FPVMZXCBHR";"CH-135"
"FPXQEWRFUQ";"F-16A [CLU]"
"FQAQJUEKSA";"M102"
"FQAVUEQSAZ";"SPADOCHRONIARZE (PKM)"
"FQCSEJATVQ";"FAB-500"
"FQEREYHQJI";"R-40TD1"
"FQGWMVHKZE";"#CMD SPW-60PUM"
"FQGYRKLUGU";"M-46 130mm"
"FQHKTFIGHK";"#RECO1 ROVER YEOMAN"
"FQJJNIABQV";"GV. KONKURS"
"FQMBYQBVBV";"1-74. RMBr"
"FQNQRWSTPW";"II./PR-16"
"FQNSWMGYJH";"CH-53G"
"FQPNHLZZKR";"I-TOW"
"FQQQINLJKT";"#UK  11th Armoured Brigade"
"FQTOXYRUIS";"91 pappanc"
"FQVQPCDBOS";"M240 D"
"FQWDKTINEZ";"T813"
"FRABJZURBD";"2A36"
"frag";"Frag"
"FRBNTAEVHH";"A long range semi active missile, operated from a very long distance."
"FRDBRFQWZF";"AMX-30RE1"
"FREDRXOMPL";"968-y IAP"
"FREQBLDMTX";"TOW"
"FRFDICYAEC";"C5"
"FRFTLVWPIR";"BDX 81mm"
"FRKFCSJQSJ";"VKK 243"
"FRKMIGYSZV";"T-72M1"
"FRMAOGHIDR";"GSh-23L x3"
"FROFYKQLDU";"M-110A2"
"FROLTBMMWX";"M2A1-7"
"FRORTHETMQ";"BM-24M"
"FRQHPAFNBI";"W-3W SOKOŁ [RKT]"
"FRSAEHFPOZ";"Panzer-Bat. 23"
"FRVKPGUSUE";"KOMENDATURA"
"FRWWKDIDND";"#RECO1 ROVER YEOMAN"
"FRXHTCHOCO";"39-GV.MTSK OFFICIAL BATTLEGROUP"
"FSAJGCENQC";"#CMD M2A1 BRADLEY CP"
"FSBZVYFDCE";"54 Tkbat"
"FSDUZRZVNL";"DD-8 DZ"
"FSFTIIPQGX";"SPW-50PK"
"FSMDSBBTFH";"#RECO2 PATHFINDERS"
"FSMZRCQJTS";"#RECO1 P4 ANF1"
"FSNJSFRQHV";"213mm"
"FSNXRCIWDO";"L7A3"
"FSOFHQPDDH";"CAÑÓN 122/45 RUSO .31"
"FSQWUMDOBO";"LO-1800 FASTA-4"
"FSTIXCDKOZ";"I (Br.) Corps Engineers"
"FSTQXJCOKC";"Su-24M [NPLM]"
"FSTYXEPODO";"132 Infbat"
"FSVJFFBOHE";"Fallschirm-Bat. 262"
"FSWBRJXSRF";"MiG-25RBF [HE]"
"FSWLBWRVCS";"TB 100"
"FSXAAYARUI";"2-172-y Gv. MSP"
"FSZXQDZFDJ";"SMAW"
"FTASMGHFYV";"#US 3rd Air Force"
"FTBWDYULLT";"CFMP"
"FTEZHHUCFA";"#RFA Gebirgsbrigade 23"
"FTNWLNRSXV";"SKOT-2"
"FTOULNBXQP";"MiG-21MF [NPLM]"
"FTR01";"IsCommander"
"FTR02";"IsReco"
"FTR03";"IsSF"
"FTR04";"IsPara"
"FTR05";"Transport"
"FTR06";"Softskin"
"FTR07";"Unarmed"
"FTRAHMBIVC";"11. Stíhací Letecké Pluk"
"FTSDRSSHAN";"#RECO2 RT SHPz"
"FTVRWGRMFW";"LÉGIONNAIRES-PARAS"
"FTWBHKTBXZ";"#RECO2 GUARDS SNIPER"
"FTZMZQGNXM";"27-YA GV. MOTOSTRELK. DIV."
"FUBCIOAZQV";"MT-12 upgrade"
"FUCVOGQOWH";"Howitzer Gun"
"FUDUBNXRHD";"5-77th Armored Bat."
"FUEGLVUDYG";"85 pz"
"FUHRUIXMXS";"NS-23"
"FUIINKXPMQ";"Strela-2M"
"FUJCURVUVT";"PARA. ENGINEERS (CarlG)"
"FUQCRZJUJQ";"A medium machine gun is a crew-served infantry weapon capable of automatic fire at intermediate ranges.\This type of belt-fed machine gun is light enough to be transported by individual soldiers, but most often needs a small crew to be operated effectively. Medium machine guns fire, almost in all cases, 5,56mm (NATO) or 7.62mm (Warsaw Pact) rounds, which can also be used in other small arms. Medium machine guns are frequently featured as primary weapons on soft-skinned and lightly armed vehicles or as coaxial armament in heavier units. "
"FURSUIWGLB";"PANZERFAUST 3"
"FUSUSSGDHX";"#UK  Parachute Rgt. Group"
"FUUYEAWDCE";"CF-116 [CLU]"
"FUWGHQYVOX";"677-y Otd. Zen. Rak. Bat."
"FUWWGJOIOG";"DSh. 2B14 82mm"
"FUYMSLGESC";"4E DIVISIE"
"FUYNKNKEUQ";"M30 107mm"
"FVBOFHEDQI";"#RECO2 SCOUTS"
"FVETQMKNEF";"9e RCP"
"FVEULXNYUV";"NF-5A [AA]"
"FVGLODQTJQ";"GREN.-VOLTIGEURS (FR-F1)"
"FVJJHXKJME";"595-y Razvedka Bat."
"FVKROOSDDV";"L42"
"FVLSLTUGMY";"Fallschirm-Bat. 261"
"FVSWPOBCSR";"#CMD CMDT GREN.-VOLTIGEURS"
"FVUTSALYDC";"9M333"
"FVVWZFYQBF";"54 Afdva"
"FVWCHOWEDQ";"#SOV 239-y MSP"
"FVWWJFOSHG";"II./AR 17"
"FVXRHDRPBA";"#CMD BTR-40B"
"FVXWTHWCVC";"4-41st Field Artillery Rgt."
"FWACUZDMOF";"ČSLA"
"FWBRRHVUJN";"#RECO2 VBL RECO"
"FWEIJWNFYV";"Electro-optical Dazzler"
"FWEKKFGSBO";"D-10T2S"
"FWGAITSLBW";"Gr.Wfr. M43 120mm"
"FWHFPHNWKS";"M26"
"FWJPLTUGHE";"MOTOSTRELKI (RPG-22)"
"FWJULMBWQP";"#CMD T-64AK Obr. 83"
"FWOKIILJSN";"L7A3"
"FWP01";"Napalm"
"FWP02";"Cluster"
"FWP20";"Infantry"
"FWPJWFQRGX";"M21"
"FWRWYYMEFT";"#CMD BTR-152S"
"FWRXZAZDDX";"1-1. DP"
"FWSKZFVRBJ";"MOTOSTRELKI (BMP)"
"FWWBORSLAJ";"L33"
"FWXVNOHBPU";"Su-25 [AT]"
"FWYDGVFPHK";"PARA-COMMANDO (RL)"
"FXAZWNSWAD";"#CMD T-72BK"
"FXDRWIKVUX";"#POL 2 Armia"
"FXDSXOQHMU";"PEACEKEEPER"
"FXIEEZIILK";"Stab-4. Pz.Gren.-Div."
"FXKKFVWLAM";"NSV 12,7mm"
"FXMNIFSUBD";"2-68 pcz"
"FXMURIZNPF";"#RECO1 USMC M1025 HUMVEE AGL"
"FXNQRHJPDA";"#SOV 41-y MSP"
"FXOTADQGPW";"31ste Smaldeel"
"FXOYVDJVXX";"PzGrenadier-Bat. 53"
"FXPXGOLYUZ";"#RECO2 EH-60A QUICK FIX II"
"FXSBNXEPBE";"HQ-1ere Division d'Infanterie"
"FXVEOLAXQG";"PRIZIVNIKI"
"FYBVFFZMVJ";"3rd Field Rgt. RA"
"FYENPYALTF";"2-120-y Gv. MSP"
"FYEPXQNCPI";"#RECO2 PATROUILLE PARA-CMDO."
"FYHCZXYVQB";"1-120-y Gv. MSP"
"FYJJCVFIUT";"2S7 PIWONIA"
"FYNXJRKFCS";"125 Afdltlua"
"FYPZJTCVGF";"G3A4"
"FYQSTSZWPR";"MiG-23MF [AT]"
"FYUMFOLYOQ";"CRV-7"
"FYVQZGCUJR";"9M117"
"FYZETRXSJI";"Anti-Air (AA) guns are weapons designed to take out fast-moving airborne targets.\nThese types of guns are frequently emplaced in quick traversing turrets with a high rate of fire and elevation. In this way, with more advanced systems using targeting computers and radar, they can track and shoot at aircraft and helicopters at a moment’s notice. AA guns are often found in dual or even quadruple mounts. In addition, these guns are frequently used for great effect in a direct-fire role against lightly armored ground targets.  "
"FZASMFHSBP";"PzGrenadier-Bat. 362"
"FZGRMUGLMY";"28 pułk czołgów"
"FZIGMHFLJZ";"GAU-2B/A"
"FZNTWYXYOM";"2A37"
"FZOKMKMJHV";"#RECO2 PUMA HET"
"FZOLLUXQXS";"#RECO1 UAZ-469 AGS-17"
"FZPDSJDTOP";"2-229th Attack Helo. Bat."
"FZQDEFDXPF";"KPZ. T-34/85M"
"FZSSSJZRIE";"Pionier-Bat. 5"
"FZTSGXHQER";"#SOV 170-y Gv. MSP"
"FZTSPKAKIY";"ROVER MILAN  (Berlin)"
"FZTTVPRTDM";"#RECO1 (reco) BMP-1P(C)"
"FZUTPEJENN";"#RECO3 Mi-8MTA"
"FZYIPBSROI";"5-18th Mech. Infantry Bat."
"FZYZAVVYTB";"9K330 TOR"
"GAAWXJSLQL";"M1008 CUCV MP"
"GAFYKHWDVX";"11-Y ORAP"
"GAKRKOBOPD";"#UK  15 Infantry Brigade"
"GALWRZJJEQ";"Fallschirm.-Bat. 262"
"GAMCVTSWLG";"Bloodhound"
"GANKMEFIZZ";"ZIL-157 SNAB."
"GARWNSXRNK";"VKK 222"
"GASLZRBGHF";"KRAKA TOW"
"GAVYIYPSXS";"#CMD LEOPARD C1 CP"
"GAWRQONTYA";"KH vz.18/47N 152mm"
"GAXSQVIFTD";"#CMD T-55AM1K"
"GAYIRKIQVT";"#RECO2 A-109A HIRUNDO"
"GBAFHBTYTI";"#CMD MOT.-SCHÜTZEN FÜH."
"GBEIMUVUFT";"GUARDS"
"GBFFBCIDFY";"M/85"
"GBFQVMCWJU";"Heavily-armed helicopter"
"GBFWCTJNIP";"4-7th Field Artillery Rgt."
"GBGBUWVHNE";"The Royal Yeomanry"
"GBNPZXMYUR";"MOT.-SCHÜTZEN (s.MG)"
"GBOWSKCJQT";"#CMD BTR-60PUM"
"GBPLFTKGMZ";"W50 LA/A"
"GBQPRYEOAE";"1-36 pz"
"GBSJSVGXEG";"MILAN"
"GBXCRBBHZN";"3-79. MSP"
"GBXVIJBDTF";"TOA-VCZ"
"GCAOLDXDWR";"MARINES (AT-4)"
"GCCUEIHHKG";"126-ya IAD"
"GCGDOHYSPM";"#RECO2 Mi-2US ADDER"
"GCGVXMHJEK";"#SOV 353-y Gv. Tank. Polk"
"GCINNOHWKQ";"Panzer-Bat. 291"
"GCLEVKKGZI";"MiG-29S"
"GCOZBJCCFF";"3rd Arm/Cavalry Recon Group"
"GCPMTPFHQX";"ML-20"
"GCQELASUUK";"CT-133 SILVER STAR [RKT]"
"GCQKXEFPDO";"M113A1-B"
"GCQZSNGHSW";"AB M1025 HUMVEE TOW"
"GCVRYSXYNZ";"#CMD FV432 COMMAND"
"GCXZNUOXNK";"PzGrenadier-Bat. 72"
"GCZNJZWZXI";"MAN KAT 6x6"
"GDCRQKMGXF";"2A21"
"GDDFRNWOFL";"3-44th ADA"
"GDDLFCMDGE";"M813A1 SUPPLY"
"GDECFLEZQI";"CH-47C SUPPLY"
"GDPMCGDQYZ";"MiG-31 [AA2]"
"GDTPDSKXCI";"Esc. de Chasse 3/11 Corse"
"GDUXCDNYTN";"3e Bataillon Parachutiste"
"GDXKUQTPHM";"VBK 20"
"GDZDHKXZGC";"MD-2"
"GEEWFWTUTL";"AANF1 7,62mm"
"GEFBTMRHWG";"[SHOCK#trait_SHOCK] [PARA#trait_PARA] "
"GEHMSVIEHC";"INGENIØR"
"GEIOJRJUNF";"2-64. TP"
"GEJCOXHKJG";"107/108 Afdva"
"GEJQTUPJLR";"#RECO2 ALOUETTE II"
"GEKKGVXETN";"#CZ 71. KDBr"
"GEOKXHSJLK";"3-333-y MSP"
"GEOVZDBVBT";"Special Forces"
"GEPAINRAOW";"FRR-8"
"GEQRWBOAOB";"#RECO1 AB M1025 HUMVEE AGL"
"GETVYKFIZY";"1-16 pa"
"GEWKQOCEYW";"75 prplot"
"GEYEXTFOLS";"Tampella"
"GFCDWHXWCY";"9K38 Igla-N"
"GFGCODEPDU";"MT-12"
"GFKMTBVWQB";"2-670-y Art. Polk"
"GFNUITUCTT";"YPR-765 PRV"
"GFOCGQLFWZ";"673-y otd. Zen.-Rak. Bat."
"GFPIIZPGWH";"#CZ 67. Motostřelecký Pluk"
"GFPOVZIUSB";"Malyutka-M"
"GFQWVQQMOF";"DESANTNIKI"
"GFRRRCMPNH";"COMMANDOS DE L'AIR"
"GFSLQQCBAK";"#RECO2 R-330T TARAN"
"GFTUKJDEOT";"1-237-y Tank. Polk"
"GFWNXDRICX";"Escadre de Chasse 3"
"GFZYSJTMQK";"TRF1"
"GGCMOWMBPX";"TOA-PM-120"
"GGEFVCFREY";"LEOPARD 2A4(C)"
"GGJCEUOFXK";"16 br"
"GGKYGZQTEG";"L7A3"
"GGMGMNUOSV";"M101 105mm"
"GGSLNBFHEX";"SNIPER RIFLE"
"GGSXJPQQHB";"FAL"
"GGUQIREIWT";"#CMD GRIZZLY CP"
"GGUYVLGVCX";"Ground Surveillance Radar units receive a +1 Optics level (Very Good to Exceptional) when not moving."
"GGXXIFAVGF";"DAF YA-4400"
"GHBUQBKXUA";"1-6 pz"
"GHCLPNTROY";"3-11 pz"
"GHCXUAITJS";"ERC-90 SAGAIE"
"GHFVOYWFSU";"Res. Mot.-Schützenbat. 43"
"GHIXPHTPNX";"I./MSR. 13"
"GHNAICDKEH";"M29 81mm"
"GHQNKQJJNK";"1-41st Infantry Rgt."
"GHVPUBTTQB";"3de Linie"
"GHWFJOJVAI";"#RECO1 PT-76B"
"GHWSJWIOPT";"RESERVISTES"
"GHYMQKZAYZ";"Su-7BKŁ [HE]"
"GHZKLGAEAE";"3-29-y Gv. Tank. Polk"
"GHZUTLOIZT";"1-75 pz"
"GIDPRVDYNR";"BTR-60PB"
"GIEZRYAKVY";"9M117"
"GIJCBPHKYU";"AMX-30EM1"
"GIJGJEPZGT";"MOR. OTDELENIE PODDERZHKI"
"GILNRDFPMA";"BRDM-2 STRELA-1"
"GINEUORKPC";"RESERVISTES"
"GIRNYMXRRE";"BM-24M"
"GIRTMPJTLJ";"GREEN BERETS"
"GISLRKYQAT";"A-19"
"GIUDKCQGEX";"#CZ 19. Motostřelecká Divize"
"GIWDPIMXKI";"Stab.-1. MSD"
"GIWEOMABSS";"Teritoriální Prapor"
"GIXMUPKTNG";"M113A1 DOZER"
"GIYRFLGJXE";"AMX-13 VCG F1"
"GIZJVXGLTH";"45 Field Rgt. RA"
"GJFWKKLFSP";"1-8 Bah"
"GJHFCZGGRB";"2-244-y Gv. MSP"
"GJIVKSDYZS";"N.G. ENGINEERS (M67)"
"GJJPMPNJNU";"DB-7 DDdes"
"GJKDBHMCEN";"T-62MV"
"GJKMDBDKZK";"#RECO2 DESANT. SNAJPER"
"GJKXWLAGPM";"ATMP MILAN"
"GJONSQJWIG";"MIRAGE III E [AT]"
"GJSNLWDGDR";"AGM-65E Maverick"
"GJTATOXEWM";"L11A5"
"GJXNWFIDRH";"86-y otd. Tank. Bat."
"GKBLUEOPUG";"#DDR 9. PzD"
"GKESZLUTXP";"V3S"
"GKFLMOGKFQ";"421TFS"
"GKOUWMLVWS";"Igla"
"GKPQWKKPZK";"I,/Royal Irish Rangers"
"GKSQUEBHOA";"challenge 11 ACR"
"GKSSJLCNLS";"1er Rgt. d'Artillerie"
"GKUVRUDXNW";"T815 MUN."
"GKVKDPJRZL";"Sicherungs-Bat. 4432"
"GLCHUFJCAE";"2-YA GV. MOTOSTRELK. DIV."
"GLCJZUHTEL";"Mk.5 Incendiary"
"GLEPREONRL";"3-243-y Gv. MSP"
"GLGEEBMBGJ";"1-28-y Gv. Tank. Polk"
"GLIGKLOZZT";"264kg"
"GLOBCNVQEK";"5e RALC"
"GLPCGKHAGP";"Su-22M4 [NPLM]"
"GLPROVHJGF";"CVR(T) STRIKER"
"GLPZNUXNZV";"1000kg"
"GLUDUBWHXC";"#DDR 15. Panzer-Rgt."
"GLVGFHXELM";"1-744-y Art. Polk"
"GLVQKASIWS";"3-275-y Gv. MSP"
"GLVWPWJDUA";"BO-105 PAH-1A1"
"GLZVUWJPDZ";"FlaRak-Bat. 36"
"GMEAMNTOCF";"CHEVROL CHEVRETTE PM"
"GMESKVNKCY";"#SOV 53-ya. Zen. Rak. Brigada"
"GMEZVXTAMY";"BME-330 C"
"GMHKFXKBNB";"M126"
"GMJECVYZVR";"Velitelství a štáb 13. TD"
"GMLQQSLCAX";"HQ-NORTHAG"
"GMMEULKJQS";"ZÁSOBOVACÍ T813"
"GMOKTYCSXJ";"#CMD PARA. FV105 SULTAN"
"GMOOBGVHCL";"FlaRak-Gruppe 42"
"GMOVZCGEIH";"BM59-TA"
"GMRKWLNWXW";"#RFA VBK 43"
"GMSVVBVNTM";"#BEL 1ste Wing"
"GMULELFSWX";"ODAB-500PM"
"GMVRCNIUFC";"4-y Gv. Razvedka Bat."
"GNCKODYAFU";"#RECO2 SNIPER SAS"
"GNGOLUBGKI";"286-y Zen. Rak. Polk"
"GNIFXKTHNO";"9 TD"
"GNOEOVZIJC";"L7A1"
"GNOSBZVIXZ";"BWP-1"
"GNOULDGFIU";"SPW-152A ZPU-2"
"GNSJNMEFJT";"3-MSR. 29"
"GNSPHTHQAB";"LARO"
"GNTKMVQKGO";"1 Regiment AAC"
"GNWAMPYREC";"M55 75"
"GNZXZPTABP";"ATO-54"
"GOCYYSBJAJ";"#RECO1 VAB RECO"
"GOHLOJAZQD";"#CZ 55. Motostřelecký Pluk"
"GOMSACYMBS";"MNAD"
"GOOEGYDUTP";"100mm HEAT"
"GOUYKHYXFB";"2-51-y Gv. Tank. Polk"
"GOXLFPUHQX";"2-YA GV. MOTOSTRELK. DIV."
"GOYSWQVKZE";"URAL-4320 ZPU-4"
"GOZTBGYTSL";"MK-77"
"GPETQPLYQS";"MiG-27K [LGB1]"
"GPFACVPVNW";"125mm"
"GPGDZAFZEB";"6800kg"
"GPHAFYSFQC";"1-49. DP"
"GPKBBTQEVG";"T-55AMS MERIDA"
"GPNIXTMLGI";"Aufk.-Bataillon 9"
"GPPWECJXYL";"1-47. DP"
"GPWYRTEKKK";"PzGrenadier-Bat. 82"
"GQGYEISFZE";"3-Royal Canadian Rgt."
"GQHDRYRYZH";"F-15C EAGLE [AA2]"
"GQHGRPMFRT";"M-30"
"GQLAHAUNQF";"Feldartillerie-Bat. 121"
"GQOMDRTMRU";"HS Mk.V"
"GQPQRAFLDI";"Line"
"GQPRSBMQUP";"TORNADO GR.1 [CLU]"
"GQQEHPVWNF";"7,/115-y otd. Tank. Polk"
"GQUCGOCIMG";"#RECO1 M1040 FAV"
"GQUHTWOJGC";"KS-19"
"GQXLQBYQAX";"9M55K5"
"GQXUYULQCB";"11 Tkbat"
"GQZEJGRFAK";"2e Cuirassiers"
"GRCWTGUSTP";"CN-105 F1"
"GRDKJKSWDX";"T-34/85M"
"Grenade";"Grenade"
"GrenSMK";"Smoke grenade"
"GrenSOV";"RDG 33"
"GrenUS";"Mk.2 Grenade"
"GRGBDRYTKO";"UNIMOG S404"
"GRIXIPPHOU";"27-YA GV. MOTOSTRELK. DIV."
"GRJBFYQFRM";"MW-1 KB44"
"GRKNWDXKXI";"13. tanková divize"
"GRLGBHATHJ";"Mi-2T"
"GRMJOZGBNX";"AKMS"
"GRNPBWQUVH";"KPVT"
"GRQPLASXQR";"526-y Otd. Zen. Rak. Bat."
"GRTNXIVLPA";"TOP M-43 76,2mm"
"GRWQKTCNQX";"D-30"
"GRZIQBGQGQ";"Jäger-Bat. 712"
"GRZSIGUNIY";"60e Rgt. d'Artillerie"
"GSBIYBJLMY";"FAL"
"GSHEDDHURZ";"RPK"
"GSJNHUIYCT";"3ste Wing"
"GSJPMSOYRZ";"CHIEFTAIN MK. 1/4"
"GSOHQTSLLY";"#CMD GEBIRGSJÄGER FÜH."
"GSQHTZMARI";"ALPINI GUASTATORI"
"GSTTAMYEQN";"ADATS"
"GSTZPNINTG";"EM-4e DAM"
"GSXHYQXRIH";"M47E2"
"GSXXTTUETX";"AIM-54 Phoenix"
"GTAHLPQSHT";"#ESP Brigada Acorazada 12"
"GTAVNFKFHP";"AH-1W SUPERCOBRA [AT]"
"GTBHIHTZAL";"F-111E [HE]"
"GTDCYFQWGR";"FRR-17"
"GTFCQRBLSB";"1-5 pz"
"GTKHRNPJUC";"UK Vz.59"
"GTQGBWZKHZ";"244 Afdva"
"GTTSDXHUJS";"2-11 pz"
"GTTZBOGNHM";"PARA. M101 105mm"
"GTVDVDUOHA";"VIB"
"GTVNJNQBMI";"2A36"
"GTVZTGDTWN";"ROVER WOMBAT"
"GTZMNCZKEE";"#RECO2 ALOUETTE III"
"GTZOKXIAOY";"238-y otd. Vertolotnyy Polk"
"GUBDCOXOJE";"MiG-23MLD [AA1]"
"GUCKZLWCRO";"This recon unit is equipped with a portable Ground Surveillance Radar, detecting targets beyond visual range. Once deployed, it needs to remain stationary to function."
"GUDMZCWNOE";"B-11"
"GUFKTDEUDC";"BAW-485"
"GUFTQLBODW";"T-55A"
"GUIHINFIES";"FIRE TEAM (LAW)"
"GULGXMUGGT";"A.109HA-2"
"GULNKRORCZ";"Carl Gustav M2"
"GUNPOVZTCC";"#RECO2 GEB. SCHARFSCHÜTZE"
"GUQDRYXBFW";"T-72B1 Obr. 84"
"GUQUYPXNMN";"HEAVY MACHINE GUN"
"GURMIZNFUM";"Mi-24P [AA]"
"GURQWANHLM";"#RECO2 SNIPER (M82)"
"GUUELEYSEC";"1-724-y Gv. Art. Polk"
"GUUFLVAQLE";"kbk AKMS"
"GUVPKNSFEA";"240mm"
"GUWQSALBOZ";"AIM-9L(i)"
"GVAFFOSAKJ";"DSh. PULEMETCHIKI"
"GVBVCGWYYL";"AIRBORNE ENGINEERS"
"GVGMMSYWCC";"1185-y otd. Desant. Bat."
"GVKTGGDEWI";"19. MOTOSTRELECKE DIVIZE"
"GVMWHXMHGU";"I./Royal Rgt. of Fusiliers"
"GVQCRFUAOZ";"#RFA  73. Heimatschutz-Brig."
"GVRTXWTSXD";"M-108"
"GVWXIKSWWN";"519-y Otd. Zen. Rak. Bat."
"GVZGFSNAMD";"RALCA II/62"
"GWECBXZFHB";"3-302-y Gv. MSP"
"GWERMIMSPM";"M47"
"GWEURNCXIL";"2-96-y Art. Polk"
"GWHKWPIMCE";"#US 4th (Aviation) Brigade"
"GWHTQVXRKM";"Air Defense"
"GWJRTCPXVK";"PARA. GUN GROUP"
"GWLJBZLLUR";"9M33M3"
"GWMUGGFPRZ";"EW planes have very high ECM which they project in the area-of-effect, scrambling any radar SAM's targeting system by the same value. It also has SEAD optics, meaning it will spot SAM radar from afar."
"GWRNITVDHR";"N.G. M728 CEV"
"GWWYWGALIT";"7-6th Mech. Infantry Bat."
"GXBUHJPXEF";"Pz.Kan. 61"
"GXCTESPTZX";"#CMD ALOUETTE II PC"
"GXIJGWRFEM";"I,/The Green Horwards"
"GXJBWRADYP";"Unguided air-to-ground rockets are fired from aircraft and helicopters at ground targets.\nA common weapon, rockets normally lack an active guidance system, separating them from missiles. A simple and easy-to-use weapon - though not very accurate - rockets are convenient in a short-range or area saturation role. Carrying various types of warheads, rockets are frequently fired from rocket pods in devastating salvoes. "
"GXJKQMQNKU";"2-36. DP"
"GXJMRVHXOO";"MFRW RM-70M [NPLM]"
"GXLCMHRNQH";"M16A2"
"GXNLSRUAKG";"C.14A [HE/CLU]"
"GXSSPUTXSJ";"LUFTSTURM-JÄGER"
"GXTUSODCCT";"1 Brygada Saperów"
"GXVOSABVJZ";"PZR KUB-M3"
"GXVZANBEUY";"3RD INFANTRY DIVISION"
"GXWAXUMLFI";"A-10A [RKT]"
"GXXHELBYEE";"YPR-765 PRAT"
"GXYVXIQXVW";"SPW PSH"
"GYBHUOUTOD";"#DDR 29. Mot.-Schützen-Rgt."
"GYFEDUSQGR";"Kom./207-ya MSD"
"GYPOTPNSDB";"3rd Armoured Division"
"GYQZLKPCXT";"T-64BV"
"GYRPBPCKNG";"SGMB"
"GYSKBPOUPJ";"2e Chasseurs"
"GYTEAVAREE";"2-237-y Tank. Polk"
"GZCUNBYSJD";"Panzer-Bat. 311"
"GZELJWKNKM";"667-y otd. Zen.-Rak. Bat."
"GZIRYXVNAQ";"#NL 4e Divisie"
"GZLGDVETLB";"510th Tac. Fighter Sq."
"GZMTMDBYHT";"#SOV 168-y Gv. MSP"
"GZOJSZLAJM";"PPLRK IGLA"
"GZOMFMKNGP";"#DDR  7. Panzerdivision"
"GZOTVZSZAM";"Mi-8T ZAOP."
"GZPEGOUCYY";"#SOV 46-y Zen.-Rak. Brig."
"GZUJVESEXF";"8,6mm"
"GZVQUYSAGO";"3-16-y Gv. Tank. Polk"
"HAAXMEIALA";"DESANTNIKI (BMD)"
"HABIBUZCHJ";"2-MSR. 3"
"HABTQWXJKV";"9M117"
"HAICSNUMDK";"3e RCP"
"HAINDEIBFY";"GACA ATP XII"
"HALSKQEVOY";"E-44"
"HANDQQBIWU";"Panzer-Bat. 34"
"HAPIVYHVCS";"1-MSR. 32"
"HAQNKPSWJP";"#SOV 55-y Gv. Tank. Polk"
"HARAXTYDGA";"MPi 81"
"HASBHNNBYW";"REZ. MAKSIM 7,62mm"
"HATUJCWMAV";"MOT. RIFLES (CarlG)"
"HATVFNEETM";"L1A1 12,7mm"
"HAUDUVJUHB";"HEIMAT-JÄGER"
"HAWGZNZOIC";"Kannone 1948/73"
"HAXNFGIIRI";"25 dar"
"HAZUTDBIVA";"MiG-25RBF [HE]"
"HBCFCBUCQE";"REZ. 2B14 82mm"
"HBDTLOOCFQ";"PzGrenadier-Bat. 323"
"HBECOFYDPI";"MiG-23P [AA]"
"HBFZKAGDFL";"Su-24M [SEAD]"
"HBJNCPCXQE";"1-20. TP"
"HBKVFOADXE";"Su-22M4P [SEAD]"
"HBLOGNOHVD";"Su-25K [RKT]"
"HBNUINTDLL";"LIGHT RIFLES (LAW)"
"HBOFOYIZLI";"3. div. protivzdušné obrany"
"HBOMXSXIYI";"#RECO2 CH-136"
"HBYNRMCOJI";"DSh POGRANVOISKA KGB"
"HBZXRINZCI";"Ka-50 AKULA [AA]"
